站號|站名|海拔高度(M)|經度|緯度|城市|地址|資料起始日期|撤站日期|備註|原站號|新站號
C0U640|羅東|24|121.7478|24.6838|宜蘭縣|羅東鎮羅東公園|1996-01-01|2015-12-03|||
C0V430|左營|26|120.2937|22.6779|高雄市|左營區曾子路281號（左營國中舊校區內）|2013-12-01|2015-09-08|原(C1V430)站因移位及擴充為氣象站，於2013-12-1升級為(C0V430)站。|C1V430|
C0X020|關子嶺|403|120.5116|23.327|臺南市|白河區關嶺里|1993-05-01|2015-04-16|||
C0Z060|玉里|130|121.3178|23.3446|花蓮縣|玉里鎮中華路414號內(林務局花蓮林管處玉里工作站宿舍旁)|1997-07-01|2008-02-19|因移位，於2008-2-20更變為(C0Z061)站。||C0Z061
C1A640|石碇|140|121.6629|24.9937|新北市|石碇區湳窟34號附近|1987-06-01|2009-11-30|因擴充為氣象站，於2009-12-1升級為(C0A640)站。||C0A640
C1A650|火燒寮|380|121.7426|25.0024|新北市|平溪區東勢村|1987-06-01|2009-11-30|因擴充為氣象站，於2009-12-1升級為(C0A650)站。||C0A650
C1A660|瑞芳|101|121.8013|25.1132|新北市|瑞芳區龍山里逢甲路360號(義方國民小學校園內)|1987-06-01|2009-11-30|因擴充為氣象站，於2009-12-1升級為(C0A660)站。||C0A660
C1A670|新莊|9|121.4468|25.0515|新北市|新莊區立言里新泰路359號(新泰國民中學旁)|1987-06-01|2009-03-19|||
C1A680|五股|95|121.4354|25.0835|新北市|五股區成泰路二段49巷15號(五股國中校園內)|1987-06-01|2009-11-30|因擴充為氣象站，於2009-12-1升級為(C0A680)站。||C0A680
C1A690|木柵|260|121.5863|24.981|臺北市|文山區萬壽路115號(木柵指南宮前左側步道上)|1987-06-01|2009-07-14|||
C1A700|南勢角|197|121.4899|24.9813|新北市|中和區圓通路367巷64號(慈雲寺右旁步行2分鐘)|1987-06-01|2009-07-13|||
C1A710|林口|238|121.3782|25.0763|新北市|林口區湖南里頭湖150號(林口國中校園內)|1987-06-01|2009-11-30|因擴充為氣象站，於2009-12-1升級為(C0A710)站。||C0A710
C1A720|松山|10|121.5654|25.0749|臺北市|松山區|1987-06-01|1992-02-26|||
C1A740|淡水|40|121.4568|25.1626|新北市|淡水區|1987-06-01|1997-06-01|||
C1A970|關渡|45|121.4674|25.1329|臺北市|北投區大成崗112號(北台灣科學技術學院校園內)|1992-05-20|2008-02-24|因與三貂角氣象站(C0A970)重複編號，於2008-2-25起變更站碼為(C1AC50)。2009-2-18～2009-2-19原址儀器汰換，原站址位於校園內，汰換後移至樓頂。||C1AC50
C1AC80|文山|45|121.5757|25.0021|臺北市|文山區木柵路4段159巷14-1號(博嘉國小校園內)|2009-10-01|2009-11-30|因擴充為氣象站，於2009-12-1升級為(C0AC80)站。||C0AC80
C1AC90|中和|49|121.5163|24.9896|新北市|中和區景新街467巷37號(景新國小校園內)|2009-10-01|2009-11-30|因擴充為氣象站，於2009-12-1升級為(C0AC90)站。||C0AC90
C1ACA0|新莊|25|121.4476|25.0518|新北市|新莊區中和街193號(榮富國小校園內)|2009-10-01|2009-11-30|因擴充為氣象站，於2009-12-1升級為(C0ACA0)站。||C0ACA0
